"","comid","comid_wy","wayr","WYT","abs_FFM_median_cfs","hydro","FlowMetric","Scenario","hydro.endpoints","PredictedProbability","PredictedProbabilityScaled","index"
"7254",20328694,"20328694_2013",2013,"dry",15.141079,15.101079,"wet_bfl_mag_50","Current","Wet_BFL_Mag_50",0.604362556253913,0.796917701069728,"CSCI"
"7255",20351625,"20351625_1994",1994,"moderate",3.25873668,1.96873668,"wet_bfl_mag_50","Current","Wet_BFL_Mag_50",0.74078672742396,0.976810125782278,"CSCI"
"7256",22549509,"22549509_2012",2012,"dry",1.397315185,1.097315185,"wet_bfl_mag_50","Current","Wet_BFL_Mag_50",0.748687897313028,0.987228811834903,"CSCI"
"7257",22548335,"22548335_2000",2000,"dry",50.71337279,50.69337279,"wet_bfl_mag_50","Current","Wet_BFL_Mag_50",0.218572814475173,0.288205414364314,"CSCI"
"7258",22545421,"22545421_1996",1996,"moderate",70.88916991,70.85916991,"wet_bfl_mag_50","Current","Wet_BFL_Mag_50",0.0965753147452808,0.127336370066264,"CSCI"
"7259",20334656,"20334656_1999",1999,"dry",7.071818432,6.771818432,"wet_bfl_mag_50","Current","Wet_BFL_Mag_50",0.694441045171806,0.915697515870173,"CSCI"
"7260",20329780,"20329780_2004",2004,"dry",2.075786131,1.925786131,"wet_bfl_mag_50","Current","Wet_BFL_Mag_50",0.74117991914319,0.977328598507035,"CSCI"
"7261",20332918,"20332918_2012",2012,"dry",2.78952306,2.65952306,"wet_bfl_mag_50","Current","Wet_BFL_Mag_50",0.734409771105524,0.968401306988873,"CSCI"
"7262",20332774,"20332774_1994",1994,"moderate",13.82222178,13.69222178,"wet_bfl_mag_50","Current","Wet_BFL_Mag_50",0.620312681080746,0.817949946345314,"CSCI"
"7263",20333190,"20333190_2012",2012,"dry",3.593311272,3.313311272,"wet_bfl_mag_50","Current","Wet_BFL_Mag_50",0.728282909975162,0.960322270149836,"CSCI"
"7264",20348773,"20348773_2009",2009,"moderate",5.417535132,5.007535132,"wet_bfl_mag_50","Current","Wet_BFL_Mag_50",0.711999951874568,0.938851142349781,"CSCI"
"7265",22549515,"22549515_1995",1995,"wet",5.159650766,2.249650766,"wet_bfl_mag_50","Current","Wet_BFL_Mag_50",0.738205534859945,0.973406498807613,"CSCI"
"7266",22548197,"22548197_1990",1990,"dry",17.74913745,17.70913745,"wet_bfl_mag_50","Current","Wet_BFL_Mag_50",0.574265772991503,0.757231307737169,"CSCI"
"7267",22548333,"22548333_2001",2001,"moderate",38.76054046,38.70054046,"wet_bfl_mag_50","Current","Wet_BFL_Mag_50",0.331375715791233,0.436950224454182,"CSCI"
"7268",20325553,"20325553_2000",2000,"dry",4.557367216,4.497367216,"wet_bfl_mag_50","Current","Wet_BFL_Mag_50",0.716963922661395,0.945396762040088,"CSCI"
"7269",20332608,"20332608_2008",2008,"wet",4.871392691,2.311392691,"wet_bfl_mag_50","Current","Wet_BFL_Mag_50",0.737635997885629,0.972655492689017,"CSCI"
"7270",22548255,"22548255_2001",2001,"moderate",13.33862321,2.05862321,"wet_bfl_mag_50","Current","Wet_BFL_Mag_50",0.739962603542625,0.975723414813061,"CSCI"
"7271",20334626,"20334626_1997",1997,"moderate",12.35340201,2.223402015,"wet_bfl_mag_50","Current","Wet_BFL_Mag_50",0.738447424009824,0.973725460068731,"CSCI"
"7272",20331160,"20331160_1999",1999,"dry",3.477704545,3.397704545,"wet_bfl_mag_50","Current","Wet_BFL_Mag_50",0.727485607463152,0.959270926528799,"CSCI"
"7273",20325187,"20325187_1999",1999,"dry",6.395421245,6.105421245,"wet_bfl_mag_50","Current","Wet_BFL_Mag_50",0.701143762178424,0.924535891094602,"CSCI"
"7274",20348595,"20348595_2006",2006,"dry",48.52298635,48.49298635,"wet_bfl_mag_50","Current","Wet_BFL_Mag_50",0.237026945864582,0.312539507165703,"CSCI"
"7275",20325259,"20325259_1999",1999,"moderate",5.692503497,4.332503497,"wet_bfl_mag_50","Current","Wet_BFL_Mag_50",0.718556942459469,0.947497358962413,"CSCI"
"7276",20343043,"20343043_2006",2006,"dry",7.651559024,7.581559024,"wet_bfl_mag_50","Current","Wet_BFL_Mag_50",0.686184558664811,0.904810300176566,"CSCI"
"7277",22549079,"22549079_1999",1999,"moderate",18.3654299,5.775429903,"wet_bfl_mag_50","Current","Wet_BFL_Mag_50",0.704431443825254,0.928871112764331,"CSCI"
"7278",20341999,"20341999_1998",1998,"wet",111.1160638,4.55606377,"wet_bfl_mag_50","Current","Wet_BFL_Mag_50",0.716395443102046,0.944647150256093,"CSCI"
"7279",20348613,"20348613_2002",2002,"dry",3.363745338,2.803745338,"wet_bfl_mag_50","Current","Wet_BFL_Mag_50",0.73306582578272,0.966629146082731,"CSCI"
"7280",20332584,"20332584_2004",2004,"dry",2.67328688,2.49328688,"wet_bfl_mag_50","Current","Wet_BFL_Mag_50",0.735953485337396,0.970436888322099,"CSCI"
"7281",20348547,"20348547_2001",2001,"moderate",5.5014836,3.2314836,"wet_bfl_mag_50","Current","Wet_BFL_Mag_50",0.729054576188765,0.961339809087718,"CSCI"
"7282",20332532,"20332532_2009",2009,"moderate",38.44888811,38.33888811,"wet_bfl_mag_50","Current","Wet_BFL_Mag_50",0.335208796565434,0.442004623456032,"CSCI"
"7283",20333154,"20333154_2001",2001,"dry",2.783825591,2.673825591,"wet_bfl_mag_50","Current","Wet_BFL_Mag_50",0.734276685089869,0.968225816341972,"CSCI"
"7284",20344419,"20344419_2002",2002,"dry",2.566959291,2.086959291,"wet_bfl_mag_50","Current","Wet_BFL_Mag_50",0.739702452408532,0.975380372829354,"CSCI"
"7285",20332642,"20332642_2007",2007,"dry",2.467555112,2.327555112,"wet_bfl_mag_50","Current","Wet_BFL_Mag_50",0.737486776228224,0.972458725169449,"CSCI"
"7286",20326361,"20326361_2000",2000,"moderate",6.628211289,6.328211289,"wet_bfl_mag_50","Current","Wet_BFL_Mag_50",0.698912298000718,0.921593424974823,"CSCI"
"7287",22548245,"22548245_2000",2000,"moderate",14.56898435,4.098984349,"wet_bfl_mag_50","Current","Wet_BFL_Mag_50",0.720803995618235,0.950460381113998,"CSCI"
"7288",20325055,"20325055_1991",1991,"wet",18.15711813,12.87711813,"wet_bfl_mag_50","Current","Wet_BFL_Mag_50",0.629425819540462,0.82996676536059,"CSCI"
"7289",948070219,"948070219_2014",2014,"dry",4.559292707,4.019292707,"wet_bfl_mag_50","Current","Wet_BFL_Mag_50",0.721568313168488,0.951468229915176,"CSCI"
"7290",22547483,"22547483_2001",2001,"dry",47.71738969,47.68738969,"wet_bfl_mag_50","Current","Wet_BFL_Mag_50",0.244046037898591,0.321795062647177,"CSCI"
"7291",20325409,"20325409_1999",1999,"dry",1.618511738,1.548511738,"wet_bfl_mag_50","Current","Wet_BFL_Mag_50",0.744616970526161,0.981860782956765,"CSCI"
"7292",20329726,"20329726_2007",2007,"dry",2.709627872,2.639627872,"wet_bfl_mag_50","Current","Wet_BFL_Mag_50",0.734594826396029,0.96864532565968,"CSCI"
"7293",20325443,"20325443_1999",1999,"dry",0.894414752,0.714414752,"wet_bfl_mag_50","Current","Wet_BFL_Mag_50",0.752108633144588,0.991739482178454,"CSCI"
"7294",20333480,"20333480_2006",2006,"dry",4.263129121,4.213129121,"wet_bfl_mag_50","Current","Wet_BFL_Mag_50",0.719707004053791,0.949013859792121,"CSCI"
"7295",20329562,"20329562_2001",2001,"moderate",1.456378705,1.056378705,"wet_bfl_mag_50","Current","Wet_BFL_Mag_50",0.74905510628754,0.987713023043478,"CSCI"
"7296",22549673,"22549673_2004",2004,"moderate",6.865046537,6.635046537,"wet_bfl_mag_50","Current","Wet_BFL_Mag_50",0.695823575685228,0.917520556202143,"CSCI"
"7297",20325009,"20325009_2004",2004,"dry",11.30645438,8.506454379,"wet_bfl_mag_50","Current","Wet_BFL_Mag_50",0.67660780634326,0.892182147986087,"CSCI"
"7298",20334564,"20334564_2007",2007,"dry",2.605863886,2.515863886,"wet_bfl_mag_50","Current","Wet_BFL_Mag_50",0.735744167121514,0.970160875933176,"CSCI"
"7299",20331166,"20331166_2014",2014,"dry",5.710115551,5.300115551,"wet_bfl_mag_50","Current","Wet_BFL_Mag_50",0.709129851724791,0.935066554393826,"CSCI"
"7300",22548369,"22548369_1996",1996,"moderate",28.6424036,28.3424036,"wet_bfl_mag_50","Current","Wet_BFL_Mag_50",0.448209480920708,0.591010235353866,"CSCI"
"7301",22549107,"22549107_2009",2009,"moderate",26.76349059,11.32349059,"wet_bfl_mag_50","Current","Wet_BFL_Mag_50",0.646538729737347,0.852532289364167,"CSCI"
"7302",20331192,"20331192_2000",2000,"dry",19.56559049,19.52559049,"wet_bfl_mag_50","Current","Wet_BFL_Mag_50",0.552959602976353,0.72913644337046,"CSCI"
"7303",20343539,"20343539_2007",2007,"dry",0.369788878,0.199788878,"wet_bfl_mag_50","Current","Wet_BFL_Mag_50",0.756656755710289,0.997736753697253,"CSCI"
"7304",20351067,"20351067_1999",1999,"dry",9.003174825,8.953174825,"wet_bfl_mag_50","Current","Wet_BFL_Mag_50",0.671928054809637,0.886011307121045,"CSCI"
"7305",22548253,"22548253_2000",2000,"moderate",17.74404754,5.164047536,"wet_bfl_mag_50","Current","Wet_BFL_Mag_50",0.710466724046251,0.936829388658281,"CSCI"
"7306",22548477,"22548477_2006",2006,"dry",5.521711289,4.861711289,"wet_bfl_mag_50","Current","Wet_BFL_Mag_50",0.713424112384398,0.94072907706689,"CSCI"
"7307",20333210,"20333210_2014",2014,"dry",5.245228771,5.155228771,"wet_bfl_mag_50","Current","Wet_BFL_Mag_50",0.710553242966374,0.936943474734018,"CSCI"
"7308",20343237,"20343237_2012",2012,"dry",1.769347569,1.399347569,"wet_bfl_mag_50","Current","Wet_BFL_Mag_50",0.745967586879606,0.983641740455674,"CSCI"
"7309",948070513,"948070513_2012",2012,"dry",6.128767316,6.018767316,"wet_bfl_mag_50","Current","Wet_BFL_Mag_50",0.702009119910676,0.925676974081314,"CSCI"
"7310",20344479,"20344479_2005",2005,"wet",36.52767316,3.34767316,"wet_bfl_mag_50","Current","Wet_BFL_Mag_50",0.727958453784614,0.959894433862981,"CSCI"
"7311",20348853,"20348853_2006",2006,"moderate",9.601858725,6.421858725,"wet_bfl_mag_50","Current","Wet_BFL_Mag_50",0.697971499846099,0.92035286430476,"CSCI"
"7312",20348453,"20348453_2014",2014,"dry",15.26809873,15.21809873,"wet_bfl_mag_50","Current","Wet_BFL_Mag_50",0.603027174303148,0.795156832046445,"CSCI"
