COMID,FlowMetric,PredictedProbabilityScaled,Index,IndexCode
948070189,DS_Mag_50,9.800046e-01,ASCI,ASCI_DS_Mag_50
948070383,DS_Mag_50,9.997220e-01,ASCI,ASCI_DS_Mag_50
22549585,DS_Mag_50,9.926079e-01,ASCI,ASCI_DS_Mag_50
20329712,DS_Mag_50,9.979336e-01,ASCI,ASCI_DS_Mag_50
22548363,DS_Mag_50,9.832695e-01,ASCI,ASCI_DS_Mag_50
948070298,DS_Mag_50,9.104765e-01,ASCI,ASCI_DS_Mag_50
20329980,DS_Mag_50,9.939051e-01,ASCI,ASCI_DS_Mag_50
20348455,DS_Mag_50,9.954588e-01,ASCI,ASCI_DS_Mag_50
20329660,DS_Mag_50,9.950836e-01,ASCI,ASCI_DS_Mag_50
22548281,DS_Mag_50,9.793184e-01,ASCI,ASCI_DS_Mag_50
20325451,DS_Mag_50,9.988104e-01,ASCI,ASCI_DS_Mag_50
20325459,DS_Mag_50,9.846788e-01,ASCI,ASCI_DS_Mag_50
20331504,DS_Mag_50,8.697092e-01,ASCI,ASCI_DS_Mag_50
22545269,DS_Mag_50,9.659037e-01,ASCI,ASCI_DS_Mag_50
20332908,DS_Mag_50,9.947896e-01,ASCI,ASCI_DS_Mag_50
20351041,DS_Mag_50,9.994001e-01,ASCI,ASCI_DS_Mag_50
20331522,DS_Mag_50,9.827479e-01,ASCI,ASCI_DS_Mag_50
20331158,DS_Mag_50,9.096014e-01,ASCI,ASCI_DS_Mag_50
20350815,DS_Mag_50,9.805542e-01,ASCI,ASCI_DS_Mag_50
20342987,DS_Mag_50,9.889128e-01,ASCI,ASCI_DS_Mag_50
20351089,DS_Mag_50,9.970480e-01,ASCI,ASCI_DS_Mag_50
20333472,DS_Mag_50,9.988847e-01,ASCI,ASCI_DS_Mag_50
20333430,DS_Mag_50,9.963494e-01,ASCI,ASCI_DS_Mag_50
22548221,DS_Mag_50,9.909261e-01,ASCI,ASCI_DS_Mag_50
20334716,DS_Mag_50,7.635916e-01,ASCI,ASCI_DS_Mag_50
20341987,DS_Mag_50,9.871090e-01,ASCI,ASCI_DS_Mag_50
20348559,DS_Mag_50,9.724830e-01,ASCI,ASCI_DS_Mag_50
20326511,DS_Mag_50,9.975925e-01,ASCI,ASCI_DS_Mag_50
20329672,DS_Mag_50,9.978301e-01,ASCI,ASCI_DS_Mag_50
20331890,DS_Mag_50,9.965465e-01,ASCI,ASCI_DS_Mag_50
948070245,DS_Mag_50,7.961292e-01,ASCI,ASCI_DS_Mag_50
20334446,DS_Mag_50,9.974771e-01,ASCI,ASCI_DS_Mag_50
20341583,DS_Mag_50,9.943516e-01,ASCI,ASCI_DS_Mag_50
22549109,DS_Mag_50,9.271956e-01,ASCI,ASCI_DS_Mag_50
948070179,DS_Mag_50,9.863789e-01,ASCI,ASCI_DS_Mag_50
20343069,DS_Mag_50,8.463550e-01,ASCI,ASCI_DS_Mag_50
