"","hydro","biol.endpoints","Condition","hydro.endpoints","thresholds","comb_code","PredictedProbability","Type","PredictedProbabilityScaled","comb_code_type","Flow.Metric.Name","Flow.Component"
"71",0,"CSCI",1,"DS_Dur_WS",0.63,"CSCI_DS_Dur_WS_0.63",0.871923506803169,"Positive",1,"CSCI_DS_Dur_WS_0.63_Positive","Dry-Season Baseflow Duration (days)","Dry-Season Baseflow"
"72",0,"CSCI",1,"DS_Dur_WS",0.63,"CSCI_DS_Dur_WS_0.63",0.871923506803169,"Positive",1,"CSCI_DS_Dur_WS_0.63_Positive","Dry-Season Baseflow Duration (days)","Dry-Season Baseflow"
"73",0,"CSCI",1,"DS_Dur_WS",0.63,"CSCI_DS_Dur_WS_0.63",0.871923506803169,"Positive",1,"CSCI_DS_Dur_WS_0.63_Positive","Dry-Season Baseflow Duration (days)","Dry-Season Baseflow"
"74",43,"CSCI",1,"DS_Dur_WS",0.63,"CSCI_DS_Dur_WS_0.63",0.772448774333391,"Positive",0.847910943662667,"CSCI_DS_Dur_WS_0.63_Positive","Dry-Season Baseflow Duration (days)","Dry-Season Baseflow"
"75",0,"CSCI",1,"DS_Dur_WS",0.63,"CSCI_DS_Dur_WS_0.63",0.871923506803169,"Positive",1,"CSCI_DS_Dur_WS_0.63_Positive","Dry-Season Baseflow Duration (days)","Dry-Season Baseflow"
"76",0,"CSCI",1,"DS_Dur_WS",0.63,"CSCI_DS_Dur_WS_0.63",0.871923506803169,"Positive",1,"CSCI_DS_Dur_WS_0.63_Positive","Dry-Season Baseflow Duration (days)","Dry-Season Baseflow"
"77",0,"CSCI",1,"DS_Dur_WS",0.63,"CSCI_DS_Dur_WS_0.63",0.871923506803169,"Positive",1,"CSCI_DS_Dur_WS_0.63_Positive","Dry-Season Baseflow Duration (days)","Dry-Season Baseflow"
"78",0,"CSCI",1,"DS_Dur_WS",0.63,"CSCI_DS_Dur_WS_0.63",0.871923506803169,"Positive",1,"CSCI_DS_Dur_WS_0.63_Positive","Dry-Season Baseflow Duration (days)","Dry-Season Baseflow"
"79",0,"CSCI",1,"DS_Dur_WS",0.63,"CSCI_DS_Dur_WS_0.63",0.871923506803169,"Positive",1,"CSCI_DS_Dur_WS_0.63_Positive","Dry-Season Baseflow Duration (days)","Dry-Season Baseflow"
"80",0,"CSCI",1,"DS_Dur_WS",0.63,"CSCI_DS_Dur_WS_0.63",0.871923506803169,"Positive",1,"CSCI_DS_Dur_WS_0.63_Positive","Dry-Season Baseflow Duration (days)","Dry-Season Baseflow"
"81",0,"CSCI",1,"DS_Dur_WS",0.63,"CSCI_DS_Dur_WS_0.63",0.871923506803169,"Positive",1,"CSCI_DS_Dur_WS_0.63_Positive","Dry-Season Baseflow Duration (days)","Dry-Season Baseflow"
"82",43.5,"CSCI",1,"DS_Dur_WS",0.63,"CSCI_DS_Dur_WS_0.63",0.771023353209857,"Positive",0.845731586672414,"CSCI_DS_Dur_WS_0.63_Positive","Dry-Season Baseflow Duration (days)","Dry-Season Baseflow"
"83",46.5,"CSCI",1,"DS_Dur_WS",0.63,"CSCI_DS_Dur_WS_0.63",0.762339465256972,"Positive",0.832454603751202,"CSCI_DS_Dur_WS_0.63_Positive","Dry-Season Baseflow Duration (days)","Dry-Season Baseflow"
"84",0,"CSCI",1,"DS_Dur_WS",0.63,"CSCI_DS_Dur_WS_0.63",0.871923506803169,"Positive",1,"CSCI_DS_Dur_WS_0.63_Positive","Dry-Season Baseflow Duration (days)","Dry-Season Baseflow"
"85",3,"CSCI",1,"DS_Dur_WS",0.63,"CSCI_DS_Dur_WS_0.63",0.866403188921612,"Positive",0.991559867350805,"CSCI_DS_Dur_WS_0.63_Positive","Dry-Season Baseflow Duration (days)","Dry-Season Baseflow"
"86",0,"CSCI",1,"DS_Dur_WS",0.63,"CSCI_DS_Dur_WS_0.63",0.871923506803169,"Positive",1,"CSCI_DS_Dur_WS_0.63_Positive","Dry-Season Baseflow Duration (days)","Dry-Season Baseflow"
"87",0,"CSCI",1,"DS_Dur_WS",0.63,"CSCI_DS_Dur_WS_0.63",0.871923506803169,"Positive",1,"CSCI_DS_Dur_WS_0.63_Positive","Dry-Season Baseflow Duration (days)","Dry-Season Baseflow"
"88",0,"CSCI",1,"DS_Dur_WS",0.63,"CSCI_DS_Dur_WS_0.63",0.871923506803169,"Positive",1,"CSCI_DS_Dur_WS_0.63_Positive","Dry-Season Baseflow Duration (days)","Dry-Season Baseflow"
"89",0,"CSCI",1,"DS_Dur_WS",0.63,"CSCI_DS_Dur_WS_0.63",0.871923506803169,"Positive",1,"CSCI_DS_Dur_WS_0.63_Positive","Dry-Season Baseflow Duration (days)","Dry-Season Baseflow"
"90",0,"CSCI",1,"DS_Dur_WS",0.63,"CSCI_DS_Dur_WS_0.63",0.871923506803169,"Positive",1,"CSCI_DS_Dur_WS_0.63_Positive","Dry-Season Baseflow Duration (days)","Dry-Season Baseflow"
"91",0,"CSCI",1,"DS_Dur_WS",0.63,"CSCI_DS_Dur_WS_0.63",0.871923506803169,"Positive",1,"CSCI_DS_Dur_WS_0.63_Positive","Dry-Season Baseflow Duration (days)","Dry-Season Baseflow"
"92",0,"CSCI",1,"DS_Dur_WS",0.63,"CSCI_DS_Dur_WS_0.63",0.871923506803169,"Positive",1,"CSCI_DS_Dur_WS_0.63_Positive","Dry-Season Baseflow Duration (days)","Dry-Season Baseflow"
"93",0,"CSCI",1,"DS_Dur_WS",0.63,"CSCI_DS_Dur_WS_0.63",0.871923506803169,"Positive",1,"CSCI_DS_Dur_WS_0.63_Positive","Dry-Season Baseflow Duration (days)","Dry-Season Baseflow"
"94",0,"CSCI",1,"DS_Dur_WS",0.63,"CSCI_DS_Dur_WS_0.63",0.871923506803169,"Positive",1,"CSCI_DS_Dur_WS_0.63_Positive","Dry-Season Baseflow Duration (days)","Dry-Season Baseflow"
"95",0,"CSCI",1,"DS_Dur_WS",0.63,"CSCI_DS_Dur_WS_0.63",0.871923506803169,"Positive",1,"CSCI_DS_Dur_WS_0.63_Positive","Dry-Season Baseflow Duration (days)","Dry-Season Baseflow"
"96",0,"CSCI",1,"DS_Dur_WS",0.63,"CSCI_DS_Dur_WS_0.63",0.871923506803169,"Positive",1,"CSCI_DS_Dur_WS_0.63_Positive","Dry-Season Baseflow Duration (days)","Dry-Season Baseflow"
