"","X","metric","Threshold25","Threshold50","Threshold75","n","Type","Biol","Bio_endpoint","Bio_threshold","Hydro_endpoint"
"12",12,"H_ASCI_d_peak_10_0.86_Negative",-451.097949925214,-1432.5241142132,-45.6698926967235,144,"Negative","ASCI","H_ASCI",0.86,"d_peak_10"
"13",13,"H_ASCI_d_peak_2_0.86_Negative",-108.751150547173,-324.18568719672,-15.3653162376427,221,"Negative","ASCI","H_ASCI",0.86,"d_peak_2"
"14",14,"H_ASCI_d_peak_5_0.86_Negative",-393.881881425115,-1276.87995000855,-39.7570314007779,179,"Negative","ASCI","H_ASCI",0.86,"d_peak_5"
"15",15,"H_ASCI_d_sp_mag_0.86_Negative",-58.3347690705048,-174.187295619607,-12.7934912110825,43,"Negative","ASCI","H_ASCI",0.86,"d_sp_mag"
"16",16,"H_ASCI_d_wet_bfl_mag_10_0.86_Negative",-4.8515872911705,-15.0306759376775,-0.77982116339671,73,"Negative","ASCI","H_ASCI",0.86,"d_wet_bfl_mag_10"
"17",17,"H_ASCI_d_wet_bfl_mag_50_0.86_Negative",-22.7622930659072,-83.7084112532826,-2.52923788867653,71,"Negative","ASCI","H_ASCI",0.86,"d_wet_bfl_mag_50"
"18",18,"H_ASCI_delta_q99_0.86_Negative",-143.352545871104,-450.978770902679,-14.7555191093033,246,"Negative","ASCI","H_ASCI",0.86,"delta_q99"
"19",1,"CSCI_d_ds_mag_50_0.79_Positive",1.25337459734912,3.35394346981153,0.173650878543006,224,"Positive","CSCI","CSCI",0.79,"d_ds_mag_50"
"20",2,"CSCI_d_fa_mag_0.79_Positive",9.26098247201102,23.0481781452212,1.88252913078953,241,"Positive","CSCI","CSCI",0.79,"d_fa_mag"
"21",3,"CSCI_d_peak_10_0.79_Positive",3254.99364344861,1221.68626387886,4587.97241216097,130,"Positive","CSCI","CSCI",0.79,"d_peak_10"
"22",4,"CSCI_d_peak_2_0.79_Positive",1014.55210679394,797.310968263451,1111.682719071,52,"Positive","CSCI","CSCI",0.79,"d_peak_2"
"23",5,"CSCI_d_peak_5_0.79_Positive",4316.28125305448,2969.14316182745,4922.49339410664,93,"Positive","CSCI","CSCI",0.79,"d_peak_5"
"24",6,"CSCI_d_sp_mag_0.79_Positive",69.0547430354523,197.757954064977,7.26299977831565,226,"Positive","CSCI","CSCI",0.79,"d_sp_mag"
"25",7,"CSCI_d_wet_bfl_mag_10_0.79_Positive",2.64439564557973,7.1875743002995,0.531740027689113,192,"Positive","CSCI","CSCI",0.79,"d_wet_bfl_mag_10"
"26",8,"CSCI_d_wet_bfl_mag_50_0.79_Positive",7.02016249489999,20.2394558565609,0.753481779538011,194,"Positive","CSCI","CSCI",0.79,"d_wet_bfl_mag_50"
"27",9,"CSCI_delta_q99_0.79_Positive",656.774195969839,497.329976841418,872.999627632457,26,"Positive","CSCI","CSCI",0.79,"delta_q99"
"28",10,"CSCI_d_ds_mag_50_0.79_Negative",-1.63986722925227,-3.86884190328942,-0.500101432678331,36,"Negative","CSCI","CSCI",0.79,"d_ds_mag_50"
"29",11,"CSCI_d_fa_mag_0.79_Negative",-20.0552171592847,-60.1278472263444,-2.59810357454994,19,"Negative","CSCI","CSCI",0.79,"d_fa_mag"
"30",12,"CSCI_d_peak_10_0.79_Negative",-880.987686109092,-2703.44870281185,-105.272137987557,130,"Negative","CSCI","CSCI",0.79,"d_peak_10"
"31",13,"CSCI_d_peak_2_0.79_Negative",-586.933326708289,-1774.21415488147,-63.241272948618,208,"Negative","CSCI","CSCI",0.79,"d_peak_2"
"32",14,"CSCI_d_peak_5_0.79_Negative",-1237.67736448997,-3920.97276992803,-123.700047069655,167,"Negative","CSCI","CSCI",0.79,"d_peak_5"
"33",15,"CSCI_d_sp_mag_0.79_Negative",-969.077346257611,-785.023289886992,-1041.73009206832,34,"Negative","CSCI","CSCI",0.79,"d_sp_mag"
"34",16,"CSCI_d_wet_bfl_mag_10_0.79_Negative",-6.6106271775386,-19.5542471365326,-1.01419217309774,68,"Negative","CSCI","CSCI",0.79,"d_wet_bfl_mag_10"
"35",17,"CSCI_d_wet_bfl_mag_50_0.79_Negative",-31.9925233641535,-98.0855294560251,-3.19782796986256,66,"Negative","CSCI","CSCI",0.79,"d_wet_bfl_mag_50"
"36",18,"CSCI_delta_q99_0.79_Negative",-1284.12357110703,-3956.13774120233,-128.605695520533,234,"Negative","CSCI","CSCI",0.79,"delta_q99"
