"","site","hydro.endpoints","hydro","Scenario","FlowMetric","PredictedProbability","PredictedProbabilityScaled","index"
"117",502020,"SP_Tim",0,"Current","sp_tim",0.461040331971605,0,"CSCI"
"118",502030,"SP_Tim",0,"Current","sp_tim",0.461040331971605,0,"CSCI"
"119",207010,"SP_Tim",-2,"Current","sp_tim",0.468647119079083,0,"CSCI"
"120",402051,"SP_Tim",-1,"Current","sp_tim",0.468700239074521,1,"CSCI"
"121",402060,"SP_Tim",-1,"Current","sp_tim",0.468700239074521,1,"CSCI"
"122",101010,"DS_Mag_50",0.0469320436041667,"Current","ds_mag_50",0.338550108171992,0.0259979910143579,"CSCI"
"123",201010,"DS_Mag_50",1.70442064305768,"Current","ds_mag_50",0.338743340596404,0.944294766353214,"CSCI"
"124",201020,"DS_Mag_50",1.80495149904564,"Current","ds_mag_50",0.338755062359606,1,"CSCI"
"125",201030,"DS_Mag_50",0.043684090454075,"Current","ds_mag_50",0.338549729573728,0.0241987817680439,"CSCI"
"126",201040,"DS_Mag_50",1.078625,"Current","ds_mag_50",0.338670378111341,0.597555781127185,"CSCI"
"127",201041,"DS_Mag_50",1.01321219896665,"Current","ds_mag_50",0.338662751973992,0.561314154715915,"CSCI"
"128",201060,"DS_Mag_50",0.665725,"Current","ds_mag_50",0.338622241658435,0.368797333288714,"CSCI"
"129",201062,"DS_Mag_50",0.60115,"Current","ds_mag_50",0.33861471371757,0.333022365178906,"CSCI"
"130",201070,"DS_Mag_50",0.944344416666665,"Current","ds_mag_50",0.338654723128937,0.523158743964816,"CSCI"
"131",201080,"DS_Mag_50",0.93594381337001,"Current","ds_mag_50",0.338653743763807,0.518504515548771,"CSCI"
"132",201090,"DS_Mag_50",0,"Current","ds_mag_50",0.338544637549674,0,"CSCI"
"133",201091,"DS_Mag_50",0,"Current","ds_mag_50",0.338544637549674,0,"CSCI"
"134",201100,"DS_Mag_50",1.038375,"Current","ds_mag_50",0.338665685563826,0.575255428252045,"CSCI"
"135",203010,"DS_Mag_50",0.520229898052835,"Current","ds_mag_50",0.338605280433841,0.288192652697261,"CSCI"
"136",204010,"DS_Mag_50",0.327074891786808,"Current","ds_mag_50",0.338582763852932,0.181187300443719,"CSCI"
"137",205010,"DS_Mag_50",0.102512636719543,"Current","ds_mag_50",0.338556586966208,0.0567871086032024,"CSCI"
"138",207010,"DS_Mag_50",0.11512353851802,"Current","ds_mag_50",0.338558056974016,0.0637730139653549,"CSCI"
"139",301010,"DS_Mag_50",0.81988698314785,"Current","ds_mag_50",0.338640213685016,0.454205639406087,"CSCI"
"140",301011,"DS_Mag_50",0.220591874051963,"Current","ds_mag_50",0.338570351163411,0.122198583643429,"CSCI"
"141",301020,"DS_Mag_50",0.256715780201166,"Current","ds_mag_50",0.338574562090091,0.142210134000295,"CSCI"
"142",301030,"DS_Mag_50",0.238746108302329,"Current","ds_mag_50",0.338572467380678,0.132255464613799,"CSCI"
"143",401080,"DS_Mag_50",0.6253,"Current","ds_mag_50",0.338617529035487,0.346401576110354,"CSCI"
"144",401101,"DS_Mag_50",0.00373939212153479,"Current","ds_mag_50",0.33854507342943,0.00207142758781917,"CSCI"
"145",401110,"DS_Mag_50",0.144959542387157,"Current","ds_mag_50",0.338561534862893,0.0803009551251108,"CSCI"
"146",401120,"DS_Mag_50",0.2184,"Current","ds_mag_50",0.338570095659724,0.120984355686548,"CSCI"
"147",401121,"DS_Mag_50",0.0452499999999998,"Current","ds_mag_50",0.33854991210424,0.025066219937988,"CSCI"
"148",402010,"DS_Mag_50",0,"Current","ds_mag_50",0.338544637549674,0,"CSCI"
"149",402030,"DS_Mag_50",0.10031536048171,"Current","ds_mag_50",0.338556330837879,0.0555699121652734,"CSCI"
"150",402031,"DS_Mag_50",0.453375,"Current","ds_mag_50",0.338597486901983,0.251155518811652,"CSCI"
"151",402040,"DS_Mag_50",0.6309,"Current","ds_mag_50",0.338618181864462,0.349504009587292,"CSCI"
"152",402041,"DS_Mag_50",0.0185000000000004,"Current","ds_mag_50",0.338546793992549,0.010248044781231,"CSCI"
"153",402050,"DS_Mag_50",0.023447022627804,"Current","ds_mag_50",0.338547370640804,0.0129884452850113,"CSCI"
"154",402051,"DS_Mag_50",0.0125043339607447,"Current","ds_mag_50",0.338546095110122,0.00692675188177601,"CSCI"
"155",402060,"DS_Mag_50",0.0525773159179487,"Current","ds_mag_50",0.338550766214702,0.0291252016818356,"CSCI"
"156",403011,"DS_Mag_50",0.4417922344954,"Current","ds_mag_50",0.338596136663486,0.244738792105852,"CSCI"
"157",403020,"DS_Mag_50",1.01285845012425,"Current","ds_mag_50",0.338662710732487,0.561118163069029,"CSCI"
"158",403030,"DS_Mag_50",0.82315,"Current","ds_mag_50",0.338640594088795,0.456013428989713,"CSCI"
"159",404010,"DS_Mag_50",0.377539887566607,"Current","ds_mag_50",0.338588646618075,0.20914391423249,"CSCI"
"160",405010,"DS_Mag_50",0.552979711174174,"Current","ds_mag_50",0.338609098237102,0.30633596603266,"CSCI"
"161",405020,"DS_Mag_50",0.190774449563246,"Current","ds_mag_50",0.338566875396087,0.105680724723396,"CSCI"
"162",501010,"DS_Mag_50",0.564663704547231,"Current","ds_mag_50",0.3386104603015,0.312808892864641,"CSCI"
"163",501011,"DS_Mag_50",0.0552195938345552,"Current","ds_mag_50",0.338551074212764,0.0305888982020027,"CSCI"
"164",501020,"DS_Mag_50",0.507753542483993,"Current","ds_mag_50",0.338603826010581,0.281280809644226,"CSCI"
"165",502010,"DS_Mag_50",0.671694888016797,"Current","ds_mag_50",0.338622937612446,0.372104709503209,"CSCI"
"166",502011,"DS_Mag_50",0.557276168341897,"Current","ds_mag_50",0.338609599097341,0.308716199805158,"CSCI"
"167",502020,"DS_Mag_50",0.241994008067777,"Current","ds_mag_50",0.33857284598513,0.134054703272542,"CSCI"
"168",502030,"DS_Mag_50",0.233136950005137,"Current","ds_mag_50",0.338571813527147,0.12914816215066,"CSCI"
"169",101011,"DS_Mag_50",-0.00409081217862483,"Current","ds_mag_50",0.520504734163448,1,"CSCI"
"170",101012,"DS_Mag_50",-0.154771581858776,"Current","ds_mag_50",0.520493793598902,0.687095245015029,"CSCI"
"171",101020,"DS_Mag_50",-0.0169146508672015,"Current","ds_mag_50",0.520503803056447,0.973369947526713,"CSCI"
"172",201031,"DS_Mag_50",-0.0114942633699821,"Current","ds_mag_50",0.520504196617306,0.984625953888879,"CSCI"
"173",201050,"DS_Mag_50",-0.111094171235482,"Current","ds_mag_50",0.520496964911579,0.777796123564697,"CSCI"
"174",201061,"DS_Mag_50",-0.114784764284616,"Current","ds_mag_50",0.520496696946478,0.770132208801733,"CSCI"
"175",401070,"DS_Mag_50",-0.0458179068151625,"Current","ds_mag_50",0.520501704462468,0.913349275646264,"CSCI"
"176",401100,"DS_Mag_50",-0.032195395118405,"Current","ds_mag_50",0.520502693559464,0.941637866407122,"CSCI"
"177",402020,"DS_Mag_50",-0.485644608016313,"Current","ds_mag_50",0.520469769643507,0,"CSCI"
"178",402021,"DS_Mag_50",-0.360931598013478,"Current","ds_mag_50",0.520478824789236,0.258980982574016,"CSCI"
"179",402022,"DS_Mag_50",-0.367799484991392,"Current","ds_mag_50",0.520478326126957,0.244719031319688,"CSCI"
