,OID_,cells,x,y,MeanProb,COMID,geometry,
4347,4347,100779,469789.9246,3698769.804,0.601779822,22548425,c(469789.924600074, 3698769.80350754)
4348,4348,100780,469989.9246,3698769.804,0.453574643,22548425,c(469989.924600074, 3698769.80350754)
4349,4349,100781,470189.9246,3698769.804,0.153264674,22548427,c(470189.924600074, 3698769.80350754)
4350,4350,100782,470389.9246,3698769.804,0.097150285,22548427,c(470389.924600074, 3698769.80350754)
4351,4351,100814,476789.9246,3698769.804,0.331876812,22548429,c(476789.924600074, 3698769.80350754)
4352,4352,100815,476989.9246,3698769.804,0.435776422,22548429,c(476989.924600074, 3698769.80350754)
4353,4353,100838,481589.9246,3698769.804,0.488151185,22548449,c(481589.924600074, 3698769.80350754)
4354,4354,100839,481789.9246,3698769.804,0.411958804,22548449,c(481789.924600074, 3698769.80350754)
4355,4355,100959,505789.9246,3698769.804,0.100519948,22549531,c(505789.924600074, 3698769.80350754)
4356,4356,100977,509389.9246,3698769.804,0.182271773,22549579,c(509389.924600074, 3698769.80350754)
4357,4357,100978,509589.9246,3698769.804,0.239466053,22549579,c(509589.924600074, 3698769.80350754)
4358,4358,100979,509789.9246,3698769.804,0.231266873,22549579,c(509789.924600074, 3698769.80350754)
4359,4359,100991,512189.9246,3698769.804,0.634176582,22549551,c(512189.924600074, 3698769.80350754)
4360,4360,100992,512389.9246,3698769.804,0.541185881,22549551,c(512389.924600074, 3698769.80350754)
4361,4361,101015,516989.9246,3698769.804,0.393080692,22549543,c(516989.924600074, 3698769.80350754)
4362,4362,101076,529189.9246,3698769.804,0.186821318,22549539,c(529189.924600074, 3698769.80350754)
4363,4363,101077,529389.9246,3698769.804,0.181251875,22549539,c(529389.924600074, 3698769.80350754)
4364,4364,101349,446989.9246,3698569.804,0.823217678,20350869,c(446989.924600074, 3698569.80350754)
4365,4365,101360,449189.9246,3698569.804,0.26320368,20350867,c(449189.924600074, 3698569.80350754)
4366,4366,101368,450789.9246,3698569.804,0.97320268,20350859,c(450789.924600074, 3698569.80350754)
4367,4367,101369,450989.9246,3698569.804,0.993580642,20350859,c(450989.924600074, 3698569.80350754)
4368,4368,101402,457589.9246,3698569.804,0.099110089,20350917,c(457589.924600074, 3698569.80350754)
4369,4369,101403,457789.9246,3698569.804,0.116768323,20350917,c(457789.924600074, 3698569.80350754)
4370,4370,101464,469989.9246,3698569.804,0.658674133,22548425,c(469989.924600074, 3698569.80350754)
4371,4371,101465,470189.9246,3698569.804,0.284241576,22548427,c(470189.924600074, 3698569.80350754)
4372,4372,101498,476789.9246,3698569.804,0.351154885,22548429,c(476789.924600074, 3698569.80350754)
4373,4373,101519,480989.9246,3698569.804,0.442975702,22548449,c(480989.924600074, 3698569.80350754)
4374,4374,101520,481189.9246,3698569.804,0.488571143,22548449,c(481189.924600074, 3698569.80350754)
4375,4375,101521,481389.9246,3698569.804,0.478732127,22548449,c(481389.924600074, 3698569.80350754)
4376,4376,101522,481589.9246,3698569.804,0.455914409,22548449,c(481589.924600074, 3698569.80350754)
4377,4377,101642,505589.9246,3698569.804,0.131756824,22549553,c(505589.924600074, 3698569.80350754)
4378,4378,101643,505789.9246,3698569.804,0.073952605,22549531,c(505789.924600074, 3698569.80350754)
4379,4379,101663,509789.9246,3698569.804,0.193710629,22549579,c(509789.924600074, 3698569.80350754)
4380,4380,101676,512389.9246,3698569.804,0.655154485,22549551,c(512389.924600074, 3698569.80350754)
4381,4381,101698,516789.9246,3698569.804,0.327507249,22549543,c(516789.924600074, 3698569.80350754)
4382,4382,101699,516989.9246,3698569.804,0.340005999,22549543,c(516989.924600074, 3698569.80350754)
4383,4383,101750,527189.9246,3698569.804,0.362963704,22549547,c(527189.924600074, 3698569.80350754)
4384,4384,101761,529389.9246,3698569.804,0.152684732,22549539,c(529389.924600074, 3698569.80350754)
4385,4385,102033,446989.9246,3698369.804,0.925707429,20350869,c(446989.924600074, 3698369.80350754)
4386,4386,102044,449189.9246,3698369.804,0.276852315,20350867,c(449189.924600074, 3698369.80350754)
4387,4387,102051,450589.9246,3698369.804,0.995230477,20350859,c(450589.924600074, 3698369.80350754)
4388,4388,102052,450789.9246,3698369.804,0.992480752,20350859,c(450789.924600074, 3698369.80350754)
4389,4389,102086,457589.9246,3698369.804,0.108209179,20350917,c(457589.924600074, 3698369.80350754)
4390,4390,102148,469989.9246,3698369.804,0.75180482,22548441,c(469989.924600074, 3698369.80350754)
4391,4391,102180,476389.9246,3698369.804,0.218458154,22549099,c(476389.924600074, 3698369.80350754)
4392,4392,102181,476589.9246,3698369.804,0.204119588,22549099,c(476589.924600074, 3698369.80350754)
4393,4393,102182,476789.9246,3698369.804,0.358174183,22549099,c(476789.924600074, 3698369.80350754)
4394,4394,102203,480989.9246,3698369.804,0.434916508,22548449,c(480989.924600074, 3698369.80350754)
4395,4395,102325,505389.9246,3698369.804,0.175892411,22549553,c(505389.924600074, 3698369.80350754)
4396,4396,102326,505589.9246,3698369.804,0.214958504,22549553,c(505589.924600074, 3698369.80350754)
4397,4397,102347,509789.9246,3698369.804,0.160183982,22549579,c(509789.924600074, 3698369.80350754)
4398,4398,102360,512389.9246,3698369.804,0.445735426,22549551,c(512389.924600074, 3698369.80350754)
4399,4399,102361,512589.9246,3698369.804,0.173862614,22549551,c(512589.924600074, 3698369.80350754)
4400,4400,102370,514389.9246,3698369.804,0.49290071,22549583,c(514389.924600074, 3698369.80350754)
4401,4401,102381,516589.9246,3698369.804,0.407529247,948070290,c(516589.924600074, 3698369.80350754)
4402,4402,102382,516789.9246,3698369.804,0.364123588,22549543,c(516789.924600074, 3698369.80350754)
4403,4403,102434,527189.9246,3698369.804,0.385281472,22549547,c(527189.924600074, 3698369.80350754)
4404,4404,102435,527389.9246,3698369.804,0.274132587,22549555,c(527389.924600074, 3698369.80350754)
4405,4405,102444,529189.9246,3698369.804,0.183111689,22550563,c(529189.924600074, 3698369.80350754)
4406,4406,102445,529389.9246,3698369.804,0.156874313,22549539,c(529389.924600074, 3698369.80350754)
4407,4407,102717,446989.9246,3698169.804,0.949165083,20350869,c(446989.924600074, 3698169.80350754)
4408,4408,102728,449189.9246,3698169.804,0.682361764,20350867,c(449189.924600074, 3698169.80350754)
4409,4409,102729,449389.9246,3698169.804,0.933136686,20350865,c(449389.924600074, 3698169.80350754)
4410,4410,102730,449589.9246,3698169.804,0.873792621,20350865,c(449589.924600074, 3698169.80350754)
4411,4411,102735,450589.9246,3698169.804,0.992460754,20350859,c(450589.924600074, 3698169.80350754)
4412,4412,102769,457389.9246,3698169.804,0.132446755,20350917,c(457389.924600074, 3698169.80350754)
4413,4413,102770,457589.9246,3698169.804,0.113848615,20350917,c(457589.924600074, 3698169.80350754)
4414,4414,102832,469989.9246,3698169.804,0.925977402,22548441,c(469989.924600074, 3698169.80350754)
4415,4415,102833,470189.9246,3698169.804,0.798230177,22548441,c(470189.924600074, 3698169.80350754)
4416,4416,102862,475989.9246,3698169.804,0.232956704,22549099,c(475989.924600074, 3698169.80350754)
4417,4417,102863,476189.9246,3698169.804,0.234006599,22549099,c(476189.924600074, 3698169.80350754)
4418,4418,102864,476389.9246,3698169.804,0.211928807,22549099,c(476389.924600074, 3698169.80350754)
4419,4419,102866,476789.9246,3698169.804,0.323557644,22548453,c(476789.924600074, 3698169.80350754)
4420,4420,102867,476989.9246,3698169.804,0.400419958,22548453,c(476989.924600074, 3698169.80350754)
4421,4421,102887,480989.9246,3698169.804,0.413968603,22548449,c(480989.924600074, 3698169.80350754)
4422,4422,103008,505189.9246,3698169.804,0.383731627,22549553,c(505189.924600074, 3698169.80350754)
4423,4423,103009,505389.9246,3698169.804,0.23329667,22549553,c(505389.924600074, 3698169.80350754)
4424,4424,103031,509789.9246,3698169.804,0.208079192,22549579,c(509789.924600074, 3698169.80350754)
4425,4425,103032,509989.9246,3698169.804,0.22529747,22549579,c(509989.924600074, 3698169.80350754)
4426,4426,103033,510189.9246,3698169.804,0.185621438,22549579,c(510189.924600074, 3698169.80350754)
4427,4427,103045,512589.9246,3698169.804,0.24089591,22549551,c(512589.924600074, 3698169.80350754)
4428,4428,103046,512789.9246,3698169.804,0.236576342,22549551,c(512789.924600074, 3698169.80350754)
4429,4429,103054,514389.9246,3698169.804,0.504189581,22549583,c(514389.924600074, 3698169.80350754)
4430,4430,103065,516589.9246,3698169.804,0.434626537,948070290,c(516589.924600074, 3698169.80350754)
4431,4431,103117,526989.9246,3698169.804,0.277772223,22550565,c(526989.924600074, 3698169.80350754)
4432,4432,103118,527189.9246,3698169.804,0.310458954,22550565,c(527189.924600074, 3698169.80350754)
4433,4433,103119,527389.9246,3698169.804,0.23019698,22549555,c(527389.924600074, 3698169.80350754)
4434,4434,103120,527589.9246,3698169.804,0.235556444,22549555,c(527589.924600074, 3698169.80350754)
4435,4435,103121,527789.9246,3698169.804,0.210828917,22549555,c(527789.924600074, 3698169.80350754)
4436,4436,103122,527989.9246,3698169.804,0.238766123,22549555,c(527989.924600074, 3698169.80350754)
4437,4437,103125,528589.9246,3698169.804,0.280181982,22549555,c(528589.924600074, 3698169.80350754)
4438,4438,103126,528789.9246,3698169.804,0.261393861,22549555,c(528789.924600074, 3698169.80350754)
4439,4439,103127,528989.9246,3698169.804,0.255754425,22549555,c(528989.924600074, 3698169.80350754)
4440,4440,103128,529189.9246,3698169.804,0.17680232,22550563,c(529189.924600074, 3698169.80350754)
4441,4441,103398,446389.9246,3697969.804,0.90579942,20350907,c(446389.924600074, 3697969.80350754)
4442,4442,103399,446589.9246,3697969.804,0.934316568,20350907,c(446589.924600074, 3697969.80350754)
4443,4443,103400,446789.9246,3697969.804,0.991290871,20350907,c(446789.924600074, 3697969.80350754)
4444,4444,103401,446989.9246,3697969.804,0.975332467,20350897,c(446989.924600074, 3697969.80350754)
4445,4445,103402,447189.9246,3697969.804,0.958384162,20350897,c(447189.924600074, 3697969.80350754)
4446,4446,103409,448589.9246,3697969.804,0.786861314,20350889,c(448589.924600074, 3697969.80350754)
4447,4447,103410,448789.9246,3697969.804,0.886311369,20350889,c(448789.924600074, 3697969.80350754)
4448,4448,103411,448989.9246,3697969.804,0.960773923,20350883,c(448989.924600074, 3697969.80350754)
4449,4449,103412,449189.9246,3697969.804,0.979762024,20350883,c(449189.924600074, 3697969.80350754)
4450,4450,103413,449389.9246,3697969.804,0.93859614,20350885,c(449389.924600074, 3697969.80350754)
4451,4451,103416,449989.9246,3697969.804,0.992640736,20350879,c(449989.924600074, 3697969.80350754)
4452,4452,103417,450189.9246,3697969.804,0.978752125,20350879,c(450189.924600074, 3697969.80350754)
4453,4453,103418,450389.9246,3697969.804,0.975342466,20350879,c(450389.924600074, 3697969.80350754)
4454,4454,103419,450589.9246,3697969.804,0.950774923,20350879,c(450589.924600074, 3697969.80350754)
4455,4455,103453,457389.9246,3697969.804,0.113358664,20350917,c(457389.924600074, 3697969.80350754)
4456,4456,103517,470189.9246,3697969.804,0.658364164,22548441,c(470189.924600074, 3697969.80350754)
4457,4457,103544,475589.9246,3697969.804,0.227327267,22549099,c(475589.924600074, 3697969.80350754)
4458,4458,103545,475789.9246,3697969.804,0.222237776,22549099,c(475789.924600074, 3697969.80350754)
4459,4459,103546,475989.9246,3697969.804,0.209949005,22549099,c(475989.924600074, 3697969.80350754)
4460,4460,103551,476989.9246,3697969.804,0.307639236,22548453,c(476989.924600074, 3697969.80350754)
4461,4461,103570,480789.9246,3697969.804,0.462393761,22548449,c(480789.924600074, 3697969.80350754)
4462,4462,103571,480989.9246,3697969.804,0.388951105,22548449,c(480989.924600074, 3697969.80350754)
4463,4463,103692,505189.9246,3697969.804,0.370312969,22549553,c(505189.924600074, 3697969.80350754)
4464,4464,103717,510189.9246,3697969.804,0.121727827,22549579,c(510189.924600074, 3697969.80350754)
4465,4465,103718,510389.9246,3697969.804,0.174982502,22549579,c(510389.924600074, 3697969.80350754)
4466,4466,103730,512789.9246,3697969.804,0.169863014,22549551,c(512789.924600074, 3697969.80350754)
4467,4467,103738,514389.9246,3697969.804,0.416158384,22549583,c(514389.924600074, 3697969.80350754)
4468,4468,103739,514589.9246,3697969.804,0.507409259,22549583,c(514589.924600074, 3697969.80350754)
4469,4469,103740,514789.9246,3697969.804,0.518918108,22549583,c(514789.924600074, 3697969.80350754)
4470,4470,103749,516589.9246,3697969.804,0.428667133,948070290,c(516589.924600074, 3697969.80350754)
4471,4471,103801,526989.9246,3697969.804,0.250254975,22550565,c(526989.924600074, 3697969.80350754)
4472,4472,103802,527189.9246,3697969.804,0.229207079,22550565,c(527189.924600074, 3697969.80350754)
4473,4473,103804,527589.9246,3697969.804,0.24809519,22549555,c(527589.924600074, 3697969.80350754)
4474,4474,103805,527789.9246,3697969.804,0.21039896,22549555,c(527789.924600074, 3697969.80350754)
4475,4475,103806,527989.9246,3697969.804,0.214868513,22549555,c(527989.924600074, 3697969.80350754)
4476,4476,103807,528189.9246,3697969.804,0.227687231,22549555,c(528189.924600074, 3697969.80350754)
4477,4477,103808,528389.9246,3697969.804,0.207749225,22549555,c(528389.924600074, 3697969.80350754)
4478,4478,103809,528589.9246,3697969.804,0.20709929,22549555,c(528589.924600074, 3697969.80350754)
4479,4479,103810,528789.9246,3697969.804,0.255274473,22549555,c(528789.924600074, 3697969.80350754)
4480,4480,103811,528989.9246,3697969.804,0.150794921,22549569,c(528989.924600074, 3697969.80350754)
4481,4481,103812,529189.9246,3697969.804,0.180111989,22549569,c(529189.924600074, 3697969.80350754)
4482,4482,103823,531389.9246,3697969.804,0.144045595,22549571,c(531389.924600074, 3697969.80350754)
4483,4483,103824,531589.9246,3697969.804,0.156754325,22549571,c(531589.924600074, 3697969.80350754)
4484,4484,103825,531789.9246,3697969.804,0.12829717,22549571,c(531789.924600074, 3697969.80350754)
4485,4485,103826,531989.9246,3697969.804,0.144705529,22549571,c(531989.924600074, 3697969.80350754)
4486,4486,104081,446189.9246,3697769.804,0.97350265,20350907,c(446189.924600074, 3697769.80350754)
4487,4487,104082,446389.9246,3697769.804,0.961183882,20350907,c(446389.924600074, 3697769.80350754)
4488,4488,104086,447189.9246,3697769.804,0.846955304,20350897,c(447189.924600074, 3697769.80350754)
4489,4489,104087,447389.9246,3697769.804,0.968943106,20350897,c(447389.924600074, 3697769.80350754)
4490,4490,104088,447589.9246,3697769.804,0.983661634,20350897,c(447589.924600074, 3697769.80350754)
4491,4491,104089,447789.9246,3697769.804,0.978012199,20350895,c(447789.924600074, 3697769.80350754)
4492,4492,104090,447989.9246,3697769.804,0.968413159,20350895,c(447989.924600074, 3697769.80350754)
4493,4493,104091,448189.9246,3697769.804,0.972692731,20350895,c(448189.924600074, 3697769.80350754)
4494,4494,104092,448389.9246,3697769.804,0.981081892,20350889,c(448389.924600074, 3697769.80350754)
4495,4495,104093,448589.9246,3697769.804,0.970752925,20350889,c(448589.924600074, 3697769.80350754)
4496,4496,104094,448789.9246,3697769.804,0.974252575,20350901,c(448789.924600074, 3697769.80350754)
4497,4497,104095,448989.9246,3697769.804,0.922747725,20350905,c(448989.924600074, 3697769.80350754)
4498,4498,104096,449189.9246,3697769.804,0.985961404,20350893,c(449189.924600074, 3697769.80350754)
4499,4499,104097,449389.9246,3697769.804,0.951664834,20350893,c(449389.924600074, 3697769.80350754)
4500,4500,104098,449589.9246,3697769.804,0.984391561,20350893,c(449589.924600074, 3697769.80350754)
4501,4501,104099,449789.9246,3697769.804,0.961663834,20350891,c(449789.924600074, 3697769.80350754)
4502,4502,104100,449989.9246,3697769.804,0.886951305,20350891,c(449989.924600074, 3697769.80350754)
4503,4503,104201,470189.9246,3697769.804,0.68520148,22548471,c(470189.924600074, 3697769.80350754)
4504,4504,104235,476989.9246,3697769.804,0.32319768,22548453,c(476989.924600074, 3697769.80350754)
4505,4505,104253,480589.9246,3697769.804,0.480421958,22548449,c(480589.924600074, 3697769.80350754)
4506,4506,104254,480789.9246,3697769.804,0.41049895,22548449,c(480789.924600074, 3697769.80350754)
4507,4507,104376,505189.9246,3697769.804,0.404379562,22549595,c(505189.924600074, 3697769.80350754)
4508,4508,104402,510389.9246,3697769.804,0.126937306,22549579,c(510389.924600074, 3697769.80350754)
4509,4509,104415,512989.9246,3697769.804,0.266593341,22549643,c(512989.924600074, 3697769.80350754)
4510,4510,104424,514789.9246,3697769.804,0.523967603,22549583,c(514789.924600074, 3697769.80350754)
4511,4511,104425,514989.9246,3697769.804,0.564143586,22549583,c(514989.924600074, 3697769.80350754)
4512,4512,104433,516589.9246,3697769.804,0.455314469,948070290,c(516589.924600074, 3697769.80350754)
4513,4513,104470,523989.9246,3697769.804,0.484021598,22549573,c(523989.924600074, 3697769.80350754)
4514,4514,104471,524189.9246,3697769.804,0.522667733,22549563,c(524189.924600074, 3697769.80350754)
4515,4515,104472,524389.9246,3697769.804,0.562273773,22549575,c(524389.924600074, 3697769.80350754)
4516,4516,104485,526989.9246,3697769.804,0.269053095,22550565,c(526989.924600074, 3697769.80350754)
4517,4517,104496,529189.9246,3697769.804,0.166873313,22549569,c(529189.924600074, 3697769.80350754)
4518,4518,104497,529389.9246,3697769.804,0.102829717,22549569,c(529389.924600074, 3697769.80350754)
4519,4519,104498,529589.9246,3697769.804,0.105859414,22549569,c(529589.924600074, 3697769.80350754)
4520,4520,104499,529789.9246,3697769.804,0.117048295,22549569,c(529789.924600074, 3697769.80350754)
4521,4521,104500,529989.9246,3697769.804,0.147465253,22549569,c(529989.924600074, 3697769.80350754)
4522,4522,104501,530189.9246,3697769.804,0.134536546,22549569,c(530189.924600074, 3697769.80350754)
4523,4523,104502,530389.9246,3697769.804,0.125867413,22549569,c(530389.924600074, 3697769.80350754)
4524,4524,104503,530589.9246,3697769.804,0.112358764,22549569,c(530589.924600074, 3697769.80350754)
4525,4525,104504,530789.9246,3697769.804,0.143845615,22549569,c(530789.924600074, 3697769.80350754)
4526,4526,104505,530989.9246,3697769.804,0.107479252,22549569,c(530989.924600074, 3697769.80350754)
4527,4527,104506,531189.9246,3697769.804,0.112048795,22549571,c(531189.924600074, 3697769.80350754)
4528,4528,104507,531389.9246,3697769.804,0.171762824,22549571,c(531389.924600074, 3697769.80350754)
4529,4529,104510,531989.9246,3697769.804,0.16260374,22549571,c(531989.924600074, 3697769.80350754)
4530,4530,104511,532189.9246,3697769.804,0.169593041,22549571,c(532189.924600074, 3697769.80350754)
4531,4531,104765,446189.9246,3697569.804,0.977362264,20350933,c(446189.924600074, 3697569.80350754)
4532,4532,104776,448389.9246,3697569.804,0.919558044,20350903,c(448389.924600074, 3697569.80350754)
4533,4533,104777,448589.9246,3697569.804,0.853274673,20350903,c(448589.924600074, 3697569.80350754)
4534,4534,104780,449189.9246,3697569.804,0.593590641,20350905,c(449189.924600074, 3697569.80350754)
4535,4535,104781,449389.9246,3697569.804,0.584511549,20350905,c(449389.924600074, 3697569.80350754)
4536,4536,104782,449589.9246,3697569.804,0.620267973,20350905,c(449589.924600074, 3697569.80350754)
4537,4537,104885,470189.9246,3697569.804,0.925247475,22548471,c(470189.924600074, 3697569.80350754)
4538,4538,104919,476989.9246,3697569.804,0.269523048,22548453,c(476989.924600074, 3697569.80350754)
4539,4539,104924,477989.9246,3697569.804,0.260543946,22548455,c(477989.924600074, 3697569.80350754)
4540,4540,104935,480189.9246,3697569.804,0.448055194,22548449,c(480189.924600074, 3697569.80350754)
4541,4541,104936,480389.9246,3697569.804,0.442035796,22548449,c(480389.924600074, 3697569.80350754)
4542,4542,104937,480589.9246,3697569.804,0.443415658,22548449,c(480589.924600074, 3697569.80350754)
4543,4543,104964,485989.9246,3697569.804,0.129707029,22549103,c(485989.924600074, 3697569.80350754)
4544,4544,105059,504989.9246,3697569.804,0.339286071,22549595,c(504989.924600074, 3697569.80350754)
4545,4545,105060,505189.9246,3697569.804,0.378182182,22549595,c(505189.924600074, 3697569.80350754)
4546,4546,105086,510389.9246,3697569.804,0.105079492,22549579,c(510389.924600074, 3697569.80350754)
4547,4547,105087,510589.9246,3697569.804,0.154564544,22549579,c(510589.924600074, 3697569.80350754)
4548,4548,105109,514989.9246,3697569.804,0.562853715,22549583,c(514989.924600074, 3697569.80350754)
4549,4549,105110,515189.9246,3697569.804,0.552844716,22549583,c(515189.924600074, 3697569.80350754)
4550,4550,105117,516589.9246,3697569.804,0.510928907,948070290,c(516589.924600074, 3697569.80350754)
4551,4551,105153,523789.9246,3697569.804,0.514688531,22550571,c(523789.924600074, 3697569.80350754)
4552,4552,105154,523989.9246,3697569.804,0.564423558,22549573,c(523989.924600074, 3697569.80350754)
4553,4553,105156,524389.9246,3697569.804,0.486621338,22549575,c(524389.924600074, 3697569.80350754)
4554,4554,105157,524589.9246,3697569.804,0.5680032,22549575,c(524589.924600074, 3697569.80350754)
4555,4555,105158,524789.9246,3697569.804,0.588181182,22549575,c(524789.924600074, 3697569.80350754)
4556,4556,105159,524989.9246,3697569.804,0.58310169,22549585,c(524989.924600074, 3697569.80350754)
4557,4557,105166,526389.9246,3697569.804,0.400319968,22549585,c(526389.924600074, 3697569.80350754)
4558,4558,105168,526789.9246,3697569.804,0.221267873,22550565,c(526789.924600074, 3697569.80350754)
4559,4559,105169,526989.9246,3697569.804,0.25890411,22550565,c(526989.924600074, 3697569.80350754)
4560,4560,105448,445989.9246,3697369.804,0.706769323,20350933,c(445989.924600074, 3697369.80350754)
4561,4561,105449,446189.9246,3697369.804,0.943045695,20350933,c(446189.924600074, 3697369.80350754)
4562,4562,105569,470189.9246,3697369.804,0.938356164,22548471,c(470189.924600074, 3697369.80350754)
4563,4563,105570,470389.9246,3697369.804,0.825777422,22548471,c(470389.924600074, 3697369.80350754)
4564,4564,105603,476989.9246,3697369.804,0.297740226,22548453,c(476989.924600074, 3697369.80350754)
4565,4565,105604,477189.9246,3697369.804,0.630306969,22548453,c(477189.924600074, 3697369.80350754)
4566,4566,105605,477389.9246,3697369.804,0.623227677,22548457,c(477389.924600074, 3697369.80350754)
4567,4567,105606,477589.9246,3697369.804,0.554594541,22548457,c(477589.924600074, 3697369.80350754)
4568,4568,105608,477989.9246,3697369.804,0.253674633,22548455,c(477989.924600074, 3697369.80350754)
4569,4569,105618,479989.9246,3697369.804,0.487481252,22548459,c(479989.924600074, 3697369.80350754)
4570,4570,105619,480189.9246,3697369.804,0.464713529,22548449,c(480189.924600074, 3697369.80350754)
4571,4571,105646,485589.9246,3697369.804,0.148655134,22549103,c(485589.924600074, 3697369.80350754)
4572,4572,105647,485789.9246,3697369.804,0.112358764,22549103,c(485789.924600074, 3697369.80350754)
4573,4573,105648,485989.9246,3697369.804,0.105419458,22549103,c(485989.924600074, 3697369.80350754)
4574,4574,105743,504989.9246,3697369.804,0.315988401,22549595,c(504989.924600074, 3697369.80350754)
4575,4575,105765,509389.9246,3697369.804,0.2870013,22549617,c(509389.924600074, 3697369.80350754)
4576,4576,105766,509589.9246,3697369.804,0.154434557,22549617,c(509589.924600074, 3697369.80350754)
4577,4577,105767,509789.9246,3697369.804,0.141925807,22549617,c(509789.924600074, 3697369.80350754)
4578,4578,105768,509989.9246,3697369.804,0.166313369,22549617,c(509989.924600074, 3697369.80350754)
4579,4579,105769,510189.9246,3697369.804,0.164093591,22549617,c(510189.924600074, 3697369.80350754)
4580,4580,105770,510389.9246,3697369.804,0.132306769,22549579,c(510389.924600074, 3697369.80350754)
4581,4581,105771,510589.9246,3697369.804,0.176672333,22549579,c(510589.924600074, 3697369.80350754)
4582,4582,105783,512989.9246,3697369.804,0.229517048,22549643,c(512989.924600074, 3697369.80350754)
4583,4583,105794,515189.9246,3697369.804,0.708989101,22549583,c(515189.924600074, 3697369.80350754)
4584,4584,105795,515389.9246,3697369.804,0.640725927,22549583,c(515389.924600074, 3697369.80350754)
4585,4585,105796,515589.9246,3697369.804,0.791220878,22549587,c(515589.924600074, 3697369.80350754)
4586,4586,105799,516189.9246,3697369.804,0.447785221,948070290,c(516189.924600074, 3697369.80350754)
4587,4587,105800,516389.9246,3697369.804,0.480911909,948070290,c(516389.924600074, 3697369.80350754)
4588,4588,105801,516589.9246,3697369.804,0.563973603,948070290,c(516589.924600074, 3697369.80350754)
4589,4589,105837,523789.9246,3697369.804,0.418718128,22550571,c(523789.924600074, 3697369.80350754)
4590,4590,105843,524989.9246,3697369.804,0.543205679,22549585,c(524989.924600074, 3697369.80350754)
4591,4591,105844,525189.9246,3697369.804,0.538646135,22549585,c(525189.924600074, 3697369.80350754)
4592,4592,105845,525389.9246,3697369.804,0.522167783,22549585,c(525389.924600074, 3697369.80350754)
4593,4593,105846,525589.9246,3697369.804,0.557924208,22549585,c(525589.924600074, 3697369.80350754)
4594,4594,105847,525789.9246,3697369.804,0.523837616,22549585,c(525789.924600074, 3697369.80350754)
4595,4595,105848,525989.9246,3697369.804,0.534486551,22549585,c(525989.924600074, 3697369.80350754)
4596,4596,105849,526189.9246,3697369.804,0.513128687,22549585,c(526189.924600074, 3697369.80350754)
4597,4597,105850,526389.9246,3697369.804,0.312588741,22549611,c(526389.924600074, 3697369.80350754)
4598,4598,105851,526589.9246,3697369.804,0.188911109,22549611,c(526589.924600074, 3697369.80350754)
4599,4599,105852,526789.9246,3697369.804,0.243335666,22550565,c(526789.924600074, 3697369.80350754)
4600,4600,105853,526989.9246,3697369.804,0.236176382,22550565,c(526989.924600074, 3697369.80350754)
4601,4601,106133,446189.9246,3697169.804,0.957734227,20350933,c(446189.924600074, 3697169.80350754)
4602,4602,106253,470189.9246,3697169.804,0.951274873,22548471,c(470189.924600074, 3697169.80350754)
4603,4603,106254,470389.9246,3697169.804,0.447765223,22548471,c(470389.924600074, 3697169.80350754)
4604,4604,106288,477189.9246,3697169.804,0.850414959,22549107,c(477189.924600074, 3697169.80350754)
4605,4605,106289,477389.9246,3697169.804,0.768853115,22549107,c(477389.924600074, 3697169.80350754)
4606,4606,106290,477589.9246,3697169.804,0.571772823,22548457,c(477589.924600074, 3697169.80350754)
4607,4607,106291,477789.9246,3697169.804,0.435336466,22548457,c(477789.924600074, 3697169.80350754)
4608,4608,106292,477989.9246,3697169.804,0.251624838,22548455,c(477989.924600074, 3697169.80350754)
4609,4609,106302,479989.9246,3697169.804,0.459354065,22548459,c(479989.924600074, 3697169.80350754)
4610,4610,106329,485389.9246,3697169.804,0.082281772,22549103,c(485389.924600074, 3697169.80350754)
4611,4611,106330,485589.9246,3697169.804,0.099010099,22549103,c(485589.924600074, 3697169.80350754)
4612,4612,106426,504789.9246,3697169.804,0.271222878,22549595,c(504789.924600074, 3697169.80350754)
4613,4613,106427,504989.9246,3697169.804,0.300189981,22549595,c(504989.924600074, 3697169.80350754)
4614,4614,106449,509389.9246,3697169.804,0.13909609,22549617,c(509389.924600074, 3697169.80350754)
4615,4615,106466,512789.9246,3697169.804,0.280611939,22549643,c(512789.924600074, 3697169.80350754)
4616,4616,106467,512989.9246,3697169.804,0.104259574,22549643,c(512989.924600074, 3697169.80350754)
4617,4617,106480,515589.9246,3697169.804,0.802349765,22549587,c(515589.924600074, 3697169.80350754)
4618,4618,106481,515789.9246,3697169.804,0.784081592,22549587,c(515789.924600074, 3697169.80350754)
4619,4619,106482,515989.9246,3697169.804,0.547405259,948070290,c(515989.924600074, 3697169.80350754)
4620,4620,106483,516189.9246,3697169.804,0.414408559,948070290,c(516189.924600074, 3697169.80350754)
4621,4621,106520,523589.9246,3697169.804,0.446425357,22550571,c(523589.924600074, 3697169.80350754)
4622,4622,106532,525989.9246,3697169.804,0.428727127,22549585,c(525989.924600074, 3697169.80350754)
4623,4623,106533,526189.9246,3697169.804,0.48870113,22549585,c(526189.924600074, 3697169.80350754)
4624,4624,106536,526789.9246,3697169.804,0.191880812,22549611,c(526789.924600074, 3697169.80350754)
4625,4625,106817,446189.9246,3696969.804,0.974472553,20350933,c(446189.924600074, 3696969.80350754)
